date,c using,c remains,c usage,d using,d remians,d usage
2025-10-01,188GB,29GB,87%,216GB,22GB,91%
2025-10-02,188GB,29GB,87%,197GB,40GB,83%
2025-10-13,188GB,29GB,87%,197GB,40GB,84%
2025-10-14,188GB,29GB,87%,197GB,40GB,84%
2025-10-15,188GB,29GB,87%,197GB,40GB,84%
2025-10-16,188GB,29GB,87%,197GB,40GB,83%
2025-10-17,188GB,29GB,87%,197GB,40GB,83%
2025-10-20,188GB,29GB,87%,197GB,40GB,83%
2025-10-21,188GB,29GB,87%,198GB,40GB,84%
2025-10-22,188GB,29GB,87%,197GB,40GB,83%
2025-10-23,188GB,29GB,87%,181GB,56GB,77%
2025-10-24,188GB,29GB,87%,181GB,56GB,77%
2025-10-28,188GB,29GB,87%,181GB,56GB,77%
2025-10-29,188GB,29GB,87%,181GB,56GB,77%
2025-10-30,188GB,29GB,87%,181GB,56GB,77%
2025-10-31,188GB,29GB,87%,181GB,56GB,77%
2025-11-03,188GB,29GB,87%,181GB,56GB,77%
2025-11-04,188GB,29GB,87%,181GB,56GB,77%
2025-11-05,188GB,29GB,87%,181GB,56GB,77%
2025-11-06,188GB,29GB,87%,158GB,79GB,67%
2025-11-07,188GB,29GB,87%,158GB,79GB,67%
2025-11-10,188GB,29GB,87%,174GB,63GB,74%
2025-11-11,188GB,29GB,87%,174GB,63GB,74%
2025-11-12,188GB,29GB,87%,174GB,63GB,74%
2025-11-13,188GB,29GB,87%,174GB,63GB,74%
2025-11-14,188GB,29GB,87%,174GB,63GB,74%
2025-11-17,188GB,29GB,87%,174GB,63GB,74%
2025-11-18,188GB,29GB,87%,174GB,63GB,74%
2025-11-19,188GB,29GB,87%,175GB,63GB,74%
2025-11-20,188GB,29GB,87%,175GB,63GB,74%
2025-11-21,188GB,29GB,87%,175GB,63GB,74%
2025-11-24,188GB,29GB,87%,174GB,63GB,74%
2025-11-25,188GB,29GB,87%,174GB,63GB,74%
2025-11-26,188GB,29GB,87%,175GB,63GB,74%
2025-11-27,188GB,29GB,87%,175GB,63GB,74%
2025-11-28,188GB,29GB,87%,175GB,63GB,74%
2025-12-01,188GB,29GB,87%,175GB,63GB,74%
2025-12-02,188GB,29GB,87%,175GB,63GB,74%
2025-12-03,188GB,29GB,87%,175GB,62GB,74%
2025-12-04,188GB,29GB,87%,175GB,63GB,74%
2025-12-05,188GB,29GB,87%,175GB,63GB,74%
2025-12-07,188GB,29GB,87%,175GB,63GB,74%
2025-12-08,188GB,29GB,87%,175GB,62GB,74%
2025-12-09,188GB,29GB,87%,175GB,62GB,74%
2025-12-10,188GB,29GB,87%,175GB,62GB,74%
2025-12-11,188GB,29GB,87%,175GB,62GB,74%
2025-12-12,188GB,29GB,87%,175GB,62GB,74%
2025-12-15,188GB,29GB,87%,175GB,62GB,74%
2025-12-16,188GB,29GB,87%,173GB,64GB,73%
